verb,frequency
adopted,45
depend,45
deal,45
feels,45
encourage,45
referred,45
speaking,45
calls,45
drive,45
containing,45
includes,45
intended,45
contain,45
fought,45
shut,45
admitted,44
cost,44
See,44
mounted,44
climbed,44
approached,44
arranged,44
believes,43
insisted,43
saved,43
escape,43
worry,43
recorded,43
enjoy,43
fired,43
draw,43
accomplished,43
supply,43
separated,43
offers,43
driven,43
consists,43
calling,43
collected,43
occur,43
grown,43
resulting,43
lifted,43
confused,43
contribute,43
appointed,42
listed,42
obtain,42
seeking,42
answer,42
replaced,42
suffered,42
helping,42
crossed,42
telling,42
burning,42
tend,42
reflected,42
fight,42
varied,42
touched,42
bear,42
exists,42
opposed,41
teach,41
dealing,41
visited,41
lies,41
continues,41
Come,41
pleased,41
riding,41
distinguished,41
remaining,41
drinking,41
Let's,41
involves,41
describe,41
composed,40
afford,40
happens,40
end,40
writes,40
demanded,40
existed,40
missed,40
shared,40
burned,40
brings,40
indicates,40
discover,40
painted,40
shouted,40
stepped,40
thrown,40
fed,40
rode,40
combined,39
holds,39
assured,39
study,39
sell,39
share,39
represents,39
changing,39
tired,39
gained,39
contributed,39
derived,39
bound,39
revealed,39
close,39
controlled,39
reaching,39
present,39
varying,39
destroyed,39
catch,39
defined,39
scheduled,38
report,38
leaned,38
handed,38
decide,38
pull,38
studying,38
represent,38
contains,38
approved,37
improve,37
check,37
assure,37
authorized,37
fail,37
please,37
beat,37
signed,37
delivered,37
resulted,37
swimming,37
chose,37
finding,37
belong,37
listening,37
wonder,37
feeling,37
admit,37
constructed,37
tested,37
forgotten,37
mind,37
washing,37
attended,36
serving,36
understanding,36
affected,36
shooting,36
bringing,36
supplied,36
spoken,36
equipped,36
managed,36
occupied,36
accompanied,36
serves,36
sleeping,36
regard,36
stored,36
dressed,36
mixed,36
sounded,35
visiting,35
Look,35
flying,35
satisfied,35
claimed,35
jumped,35
sees,35
installed,35
prepare,35
recall,35
disappeared,35
calculated,35
worried,35
urged,34
protect,34
tied,34
listen,34
exposed,34
retired,34
advertising,34
throw,34
lying,34
performed,34
plays,34
works,34
owned,34
tells,34
vary,34
swept,34
marketing,34
illustrated,34
isolated,34
washed,34
producing,34
tends,34
stretched,34
filed,33
succeeded,33
mention,33
rejected,33
handle,33
examine,33
advised,33
determining,33
Take,33
affect,33
attempted,33
hate,33
parked,33
survive,33
note,33
demonstrated,33
fallen,33
connected,33
elected,32
missing,32
receiving,32
concluded,32
remarked,32
returning,32
meets,32
drop,32
wear,32
promote,32
gathered,32
touch,32
slipped,32
suffer,32
crowded,32
uses,32
smiling,32
cooling,32
protected,31
tossed,31
armed,31
printed,31
ruled,31
allowing,31
facing,31
setting,31
preserve,31
ride,31
involve,31
knocked,31
winning,31
checked,31
leads,31
bent,31
file,31
locking,31
amount,30
sending,30
sponsored,30
reducing,30
involving,30
plan,30
covering,30
fear,30
suspended,30
suffering,30
singing,30
reveal,30
ranging,30
hunting,30
turns,30
Get,30
impressed,30
listened,30
confronted,30
troubled,30
dying,30
complicated,30
encountered,30
engineering,30
painting,30
concentrated,30
sleep,30
argued,29
housing,29
ignored,29
perform,29
transferred,29
lives,29
replace,29
spending,29
threatened,29
letting,29
push,29
Armed,29
colored,29
meeting,29
furnish,29
creating,29
poured,29
argue,29
extend,29
hoping,29
preceding,29
constitute,29
shouting,29
suggests,29
reminded,29
pressed,29
falling,29
grinned,29
representing,28
extending,28
questioned,28
matching,28
specified,28
demonstrate,28
expanding,28
losing,28
claim,28
examined,28
arise,28
dancing,28
even,28
encouraged,28
fled,28
locked,28
rendered,28
control,28
fishing,28
let's,28
discuss,28
paused,28
eating,28
measuring,28
lighted,28
Suppose,28
committed,28
sang,28
increases,28
hated,28
operated,27
voted,27
acquire,27
prefer,27
scattered,27
moves,27
insist,27
filling,27
account,27
hearing,27
flew,27
helps,27
ending,27
rushed,27
sing,27
presents,27
parking,27
maintaining,27
selling,27
express,27
causes,27
distributed,27
reserved,27
refer,27
applying,27
measure,27
travel,27
occurs,27
imagined,27
prevented,27
laughing,27
slept,27
lacking,26
warning,26
vote,26
paying,26
raising,26
released,26
handled,26
pointing,26
compare,26
quoted,26
recalled,26
overcome,26
approaching,26
justify,26
invited,26
appreciate,26
notice,26
dining,26
Make,26
acquired,26
match,26
preferred,26
point,26
happening,26
trembling,26
emerged,26
disturbed,26
leaves,26
shoot,26
cooking,26
conceived,26
cried,26
frightened,26
identify,26
dried,26
frozen,26
stained,26
staring,26
eliminate,25
back,25
abandoned,25
recommend,25
permits,25
count,25
establishing,25
attracted,25
accused,25
torn,25
inspired,25
delayed,25
matter,25
attacked,25
attached,25
consisting,25
drawing,25
proceeded,25
glanced,25
surrounding,25
observe,25
cross,25
supporting,25
reflect,25
transformed,25
entering,24
force,24
insure,24
subjected,24
absorbed,24
viewed,24
qualified,24
placing,24
backed,24
neighboring,24
attack,24
cited,24
honored,24
accomplish,24
arrive,24
rest,24
seized,24
slid,24
hired,24
expressing,24
drying,24
consisted,24
assembled,24
hang,24
tended,24
aimed,24
trust,24
attempt,24
hanging,24
interpreted,24
sound,24
hurt,24
thinks,23
compete,23
gain,23
last,23
settle,23
dedicated,23
stressed,23
relieved,23
controlling,23
furnished,23
resumed,23
cleared,23
considering,23
press,23
firing,23
attempting,23
trading,23
closing,23
buying,23
adjusted,23
Tell,23
stuck,23
justified,23
exercise,23
blame,23
drink,23
reflects,23
enable,23
hurried,23
excited,23
wounded,23
whispered,23
warned,22
registered,22
traveled,22
anticipated,22
complained,22
expects,22
aid,22
carries,22
attending,22
suited,22
retained,22
own,22
favor,22
threatening,22
sighed,22
dealt,22
worn,22
altered,22
burst,22
loaded,22
offering,22
resist,22
pulling,22
participate,22
belongs,22
demand,22
finish,22
describes,22
grows,22
cast,22
repeat,22
possessed,22
eliminated,22
bother,22
preparing,22
feeding,22
yelled,22
voting,21
starts,21
assist,21
cope,21
hesitated,21
respond,21
submitted,21
forming,21
adding,21
split,21
reaches,21
balanced,21
breaking,21
thank,21
pressing,21
seated,21
suspected,21
governing,21
treat,21
defend,21
cleaning,21
characterized,21
computed,21
inclined,21
lowered,21
Place,21
Go,21
strike,21
obliged,21
Note,21
educated,21
searching,21
persuaded,21
Consider,21
shining,21
stumbled,21
reveals,21
occurring,21
rang,21
receives,20
enforced,20
benefit,20
solve,20
amounts,20
confirmed,20
state,20
displayed,20
name,20
step,20
conditioned,20
greeted,20
launched,20
financing,20
expanded,20
emphasize,20
puts,20
suspect,20
Inc.,20
injured,20
purchased,20
grabbed,20
miss,20
fitted,20
manufacturing,20
sharing,20
converted,20
guided,20
brushed,20
struggling,20
figured,20
define,20
responded,20
forgive,20
sounds,20
bore,20
attain,20
manage,20
leaped,20
relating,20
pursue,20
peered,20
crawled,20
startled,19
questioning,19
imposed,19
avoided,19
dominated,19
shopping,19
influence,19
aroused,19
explains,19
surrounded,19
keeps,19
accepting,19
filing,19
wiped,19
figure,19
drank,19
addressed,19
solved,19
arrested,19
hidden,19
packed,19
lacked,19
condemned,19
attract,19
Allied,19
allows,19
dreamed,19
shaking,19
dated,19
produces,19
rolling,19
preserved,19
falls,19
wondering,19
points,19
ignore,19
applies,19
united,19
scared,19
conduct,19
melting,19
assert,19
twisted,19
glued,19
distinguish,19
smelled,19
commented,18
sign,18
saving,18
earned,18
stolen,18
deliver,18
aged,18
finance,18
emerge,18
proceed,18
hopes,18
compelled,18
arose,18
announce,18
view,18
shrugged,18
guide,18
ranged,18
pronounced,18
snapped,18
favored,18
kicked,18
cry,18
fly,18
predicted,18
buried,18
escaped,18
complete,18
emphasized,18
investigated,18
acted,18
gather,18
sank,18
disposed,18
likes,18
resting,18
attributed,18
founded,18
specialized,18
Said,18
exceed,18
defended,18
hide,18
submit,18
interrupted,18
rubbed,18
paint,18
Remember,18
sung,18
relax,18
shifted,18
faded,18
affects,18
refers,18
speaks,18
claims,18
situated,18
differ,18
experience,18
exercised,18
puzzled,18
straightened,18
roared,18
marry,18
test,17
consulted,17
order,17
underlying,17
persuade,17
question,17
performing,17
asks,17
assign,17
bearing,17
declined,17
pays,17
slowed,17
erected,17
stripped,17
squeezed,17
designated,17
throwing,17
cracked,17
shaped,17
admired,17
awarded,17
muttered,17
cooled,17
rested,17
describing,17
captured,17
renewed,17
flowing,17
counted,17
lift,17
loves,17
accompanying,17
undertaken,17
illustrate,17
destroying,17
shocked,17
possess,17
belonged,17
Keep,17
mistaken,17
resolved,17
rises,17
expecting,17
bears,17
enjoying,17
staying,17
states,17
Listen,17
causing,17
consist,17
prevailing,17
neglected,17
dance,17
blowing,17
select,17
processing,17
implied,17
results,17
dressing,17
screamed,17
forgot,17
murmured,17
sensed,17
deserves,16
improving,16
appearing,16
gotten,16
inquired,16
Asked,16
financed,16
requiring,16
limit,16
confirm,16
effect,16
instructed,16
strengthen,16
reads,16
bounced,16
slammed,16
claiming,16
spotted,16
cherished,16
waved,16
hitting,16
inherited,16
earn,16
judge,16
collect,16
telephoned,16
opens,16
asserted,16
spun,16
mailed,16
adjust,16
wanting,16
translated,16
yield,16
pushing,16
demanding,16
Use,16
roll,16
reflecting,16
matched,16
passes,16
traveling,16
secure,16
delighted,16
stretching,16
discussing,16
satisfy,16
devised,16
stating,16
switched,16
maintains,16
piled,16
wake,16
lined,16
confined,16
influenced,16
implies,16
heated,16
clean,16
ruined,16
runs,16
referring,16
minimize,16
conclude,16
inserted,16
occupy,16
wasted,16
dare,16
ate,16
doubt,16
weighed,16
gonna,16
camping,16
lit,16
heating,16
ground,16
screaming,16
crouched,16
damned,16
defeated,15
termed,15
oppose,15
indicating,15
devote,15
react,15
sailing,15
hire,15
charge,15
dropping,15
advance,15
approach,15
operates,15
contributing,15
competing,15
tore,15
sets,15
landed,15
batting,15
scored,15
smashed,15
commit,15
dragging,15
staged,15
preceded,15
covers,15
originated,15
recording,15
forbidden,15
segregated,15
intend,15
judged,15
gambling,15
tracing,15
qualify,15
alter,15
jump,15
owed,15
swinging,15
welcome,15
discouraged,15
shift,15
dragged,15
cease,15
restricted,15
stirred,15
dug,15
joining,15
governed,15
translate,15
mark,15
spreading,15
rests,15
accustomed,15
considers,15
prolonged,15
guessed,15
exhausted,15
freezing,15
refuse,15
quote,15
arranging,15
Thank,15
proves,15
remind,15
plunged,15
thrust,15
linked,15
crying,15
vanished,15
sustained,15
Following,15
dissolved,15
cared,15
boating,15
substituted,15
dry,15
Determine,15
commanded,15
disappointed,15
kissed,15
milling,15
Wait,15
flashed,15
hiding,15
deserted,15
revised,14
approve,14
issue,14
feared,14
locate,14
amended,14
eliminating,14
succeed,14
dismissed,14
nursing,14
criticized,14
participating,14
arises,14
disclosed,14
stems,14
organize,14
Speaking,14
bet,14
fails,14
affixed,14
challenge,14
carved,14
clear,14
marching,14
practicing,14
loses,14
failing,14
engage,14
bothered,14
concerns,14
entertain,14
frightening,14
honor,14
celebrated,14
fastened,14
convicted,14
handling,14
pursued,14
executed,14
valued,14
marks,14
reply,14
shipping,14
shake,14
stick,14
bored,14
Check,14
polished,14
loving,14
framed,14
structured,14
deemed,14
rounded,14
borrowed,14
cuts,14
administered,14
flung,14
centered,14
emerging,14
draws,14
accommodate,14
direct,14
relaxed,14
answering,14
cleaned,14
analyzed,14
separate,14
prescribed,14
abandon,14
restored,14
achieving,14
dared,14
projected,14
deals,14
sustain,14
survived,14
conceive,14
attach,14
practice,14
coordinated,14
coupled,14
illuminated,14
cracking,14
bathing,14
wrapped,14
determines,14
swore,14
clung,14
hurry,14
woke,14
folded,14
purchasing,13
enabling,13
praised,13
picking,13
head,13
relieve,13
grant,13
expand,13
guaranteed,13
propose,13
modified,13
restrained,13
reviewed,13
adopt,13
witnessed,13
encounter,13
protested,13
ease,13
flow,13
convey,13
sue,13
objected,13
lack,13
absorb,13
accelerated,13
crossing,13
defending,13
quit,13
brooding,13
beaten,13
tumbled,13
graduated,13
appealed,13
surviving,13
supplying,13
exaggerated,13
collapsed,13
omitted,13
stopping,13
Using,13
landing,13
imply,13
explaining,13
sells,13
undertake,13
reports,13
taxed,13
cook,13
conducting,13
lend,13
Put,13
rely,13
owns,13
derive,13
trade,13
classified,13
surprising,13
racing,13
collecting,13
consumed,13
capture,13
forcing,13
evaluate,13
creates,13
Start,13
tempted,13
progressed,13
ends,13
selecting,13
shattered,13
dress,13
invented,13
adapted,13
upset,13
remembering,13
remembers,13
suggesting,13
wishes,13
promoting,13
induced,13
perceive,13
bleeding,13
participated,13
communicate,13
enters,13
differed,13
Turning,13
curled,13
behaved,13
averaged,13
raises,13
assuming,13
sprang,13
opposing,13
leveled,13
exerted,13
clarify,13
rent,13
behave,13
packing,13
fix,13
screwed,13
sealed,13
begged,13
proclaim,13
staining,13
effected,12
incorporated,12
Ask,12
expended,12
faces,12
whipped,12
staggered,12
combine,12
enacted,12
encouraging,12
contended,12
gaining,12
project,12
credited,12
believing,12
welcomed,12
focused,12
terminate,12
acknowledge,12
blocked,12
Planning,12
gathering,12
reporting,12
undergoing,12
heading,12
belonging,12
wound,12
concern,12
enabled,12
decides,12
presumed,12
adjoining,12
correct,12
acknowledged,12
crashed,12
manned,12
halted,12
realizing,12
costs,12
sweeping,12
extends,12
lasting,12
pray,12
display,12
reacted,12
counting,12
object,12
recalls,12
interviewed,12
lasted,12
gripped,12
instituted,12
raced,12
Taking,12
requested,12
ceased,12
noting,12
populated,12
deserve,12
deserved,12
urge,12
yielded,12
compounded,12
prayed,12
treats,12
cure,12
baptized,12
lighting,12
brush,12
focus,12
breathing,12
swallowed,12
coincide,12
demands,12
weep,12
traced,12
promoted,12
acquainted,12
touching,12
exhibit,12
explore,12
eaten,12
evidenced,12
arriving,12
initiated,12
affirm,12
perceived,12
exclaimed,12
waving,12
Seeing,12
Try,12
hardened,12
range,12
Cut,12
stirring,12
tilted,12
pretending,12
detected,12
molded,12
jerked,12
unlocked,12
processed,12
leaning,12
blew,12
wrinkled,12
deduct,12
sampling,12
investigate,11
teaches,11
constituted,11
fulfilled,11
respected,11
aided,11
risk,11
doubled,11
plans,11
declares,11
regretted,11
proven,11
resolve,11
contrasting,11
conceded,11
observing,11
exert,11
cooperate,11
repaired,11
purchase,11
posted,11
enlisted,11
nearing,11
consult,11
kicking,11
swing,11
pitching,11
nailed,11
shaken,11
retain,11
publishing,11
entertained,11
necessitated,11
choosing,11
comprise,11
testified,11
killing,11
integrated,11
scratching,11
treating,11
supplies,11
meaning,11
threaten,11
planted,11
warn,11
buys,11
arched,11
wired,11
appreciated,11
towering,11
titled,11
shifting,11
testing,11
interpret,11
unified,11
generated,11
manufactured,11
embarrassing,11
recover,11
sink,11
settling,11
divide,11
daring,11
trusted,11
housed,11
limiting,11
develops,11
render,11
desire,11
symbolized,11
secured,11
knock,11
sliding,11
depressed,11
confess,11
sprawled,11
beg,11
frighten,11
bursting,11
floating,11
anticipate,11
oriented,11
distorted,11
agrees,11
stress,11
appropriated,11
afforded,11
strained,11
warrant,11
civilized,11
snap,11
constitutes,11
muffled,11
rejects,11
acts,11
disciplined,11
mix,11
amazed,11
Got,11
explored,11
varies,11
grasped,11
endured,11
formulated,11
disguised,11
Looking,11
pleading,11
enclosed,11
arising,11
record,11
ruling,11
bend,11
locating,11
rotating,11
dream,11
complain,11
inspect,11
specify,11
dreaming,11
disappear,11
construct,11
evaluated,11
adopting,11
snatched,11
farming,11
invested,11
deciding,11
disliked,11
spinning,11
rubbing,11
free,11
detached,11
crept,11
frowning,11
allotted,10
alleged,10
consulting,10
decrease,10
allied,10
preoccupied,10
restrain,10
concentrate,10
beating,10
fits,10
unite,10
clearing,10
frustrated,10
confronting,10
stole,10
singled,10
completing,10
rushing,10
insists,10
warmed,10
slashed,10
elevated,10
compiled,10
adds,10
wheeled,10
Give,10
swim,10
poised,10
promises,10
deposited,10
summoned,10
guiding,10
robbed,10
fleeing,10
negotiate,10
handicapped,10
train,10
striking,10
appeal,10
freed,10
urging,10
march,10
declaring,10
merge,10
Adjusted,10
glowing,10
undergone,10
wash,10
marking,10
mounting,10
review,10
sense,10
owe,10
sacrifice,10
accuse,10
combining,10
assuring,10
associate,10
restrict,10
binding,10
licked,10
enjoys,10
crushed,10
secede,10
risen,10
twisting,10
recognizes,10
disturb,10
arguing,10
diminished,10
conform,10
resume,10
descending,10
admire,10
disabled,10
Please,10
refusing,10
exceeds,10
utilize,10
departing,10
tremble,10
cultivated,10
introduce,10
grasp,10
analyze,10
reject,10
waking,10
persisted,10
sings,10
retrieved,10
argues,10
danced,10
reverse,10
barbed,10
huddled,10
devoting,10
preventing,10
enduring,10
command,10
hesitate,10
cursed,10
contributes,10
tasted,10
fire,10
detect,10
employing,10
doomed,10
differs,10
wipe,10
insert,10
changes,10
paced,10
boiled,10
reinforce,10
adjusting,10
climb,10
printing,10
waste,10
sailed,10
anchored,10
burn,10
Stop,10
learns,10
accumulated,10
smile,10
utilized,10
avoiding,10
strode,10
acquiring,10
swear,10
scanned,10
plotted,10
assessing,10
commute,10
resigned,9
smell,9
permitting,9
retire,9
precipitated,9
Acting,9
discourage,9
hastened,9
surveyed,9
centralized,9
obtaining,9
addressing,9
stepping,9
induce,9
viewing,9
reviewing,9
bounded,9
seeks,9
denying,9
score,9
breaks,9
timed,9
flooded,9
Living,9
depended,9
motivated,9
delivering,9
guarding,9
doubted,9
dies,9
reared,9
arrange,9
corrected,9
murdered,9
sped,9
land,9
challenged,9
derives,9
attacking,9
fulfill,9
collaborated,9
exhibited,9
cooked,9
sewing,9
tearing,9
discharged,9
witness,9
drifting,9
steering,9
boiling,9
bid,9
employs,9
grab,9
narrowed,9
battered,9
climbing,9
incurred,9
melted,9
Add,9
rated,9
retains,9
preaching,9
fixing,9
laying,9
resembles,9
emerges,9
spreads,9
earning,9
promise,9
tortured,9
convert,9
pack,9
numbered,9
choke,9
scrambled,9
destined,9
mining,9
house,9
crack,9
recruit,9
exploited,9
departed,9
interfere,9
awoke,9
labeled,9
enables,9
industrialized,9
await,9
spared,9
presenting,9
recovered,9
light,9
employ,9
pouring,9
restore,9
blessed,9
drifted,9
withdrew,9
winding,9
looming,9
dazzling,9
tailored,9
breathed,9
assessed,9
impose,9
prevents,9
augmented,9
engendered,9
summarized,9
comparing,9
conveyed,9
marched,9
resisted,9
blown,9
fitting,9
cites,9
advertised,9
wept,9
introducing,9
tear,9
center,9
accounts,9
formulate,9
symbolize,9
warming,9
proclaimed,9
compressed,9
shivering,9
postponed,9
glance,9
declining,9
release,9
corresponding,9
lessened,9
disclose,9
enrolled,9
spit,9
laugh,9
improves,9
weighing,9
hauled,9
drilling,9
simplified,9
computing,9
simplify,9
smoked,9
chewing,9
draped,9
drag,9
amused,9
pose,9
offset,9
extracted,9
swayed,9
shaved,9
borrow,9
defining,9
assigning,9
indulge,9
caring,9
searched,9
Fighting,9
denoted,9
circled,9
peering,9
condensed,9
crawl,9
stare,9
purified,9
monitoring,9
generalized,9
grunted,9
aim,9
swelling,9
aerated,9
leveling,9
dumped,9
rustling,9
featured,8
requesting,8
undermine,8
strengthening,8
assemble,8
enforce,8
resent,8
plowing,8
elect,8
succeeds,8
guessing,8
predict,8
revive,8
contracted,8
investigating,8
spends,8
barred,8
honoring,8
yielding,8
mating,8
undergo,8
comforting,8
clicked,8
finishing,8
pitched,8
contented,8
resented,8
preached,8
whirling,8
testify,8
further,8
entertaining,8
divorced,8
sentenced,8
designing,8
nominated,8
taxing,8
abolish,8
charging,8
traded,8
averaging,8
trailed,8
estimate,8
declare,8
rooted,8
baked,8
practiced,8
entails,8
preach,8
discarded,8
register,8
negotiating,8
exploit,8
resembled,8
knit,8
exaggerate,8
begging,8
endure,8
confront,8
raged,8
bit,8
dominate,8
concede,8
tries,8
confided,8
withdraw,8
delay,8
eased,8
slumped,8
broaden,8
founding,8
borne,8
replacing,8
balance,8
commanding,8
approaches,8
devise,8
judging,8
recommending,8
satisfying,8
Imagine,8
sprung,8
answers,8
jammed,8
Remove,8
embrace,8
panting,8
repeating,8
guard,8
Say,8
utilizing,8
misleading,8
clarified,8
advise,8
bless,8
apportioned,8
strikes,8
withheld,8
exploded,8
resemble,8
Leaving,8
ensure,8
invite,8
concealed,8
removing,8
imported,8
squeeze,8
evolved,8
chooses,8
possesses,8
dashed,8
glancing,8
dates,8
returns,8
deprived,8
sticking,8
reminds,8
observes,8
drops,8
programing,8
penetrated,8
supports,8
dwell,8
mingled,8
creeping,8
expresses,8
places,8
stumbling,8
relied,8
dispelled,8
excluded,8
obey,8
accusing,8
descended,8
snarled,8
analyzing,8
repel,8
tie,8
distilled,8
attained,8
blooming,8
dig,8
spare,8
address,8
interlocking,8
slide,8
pulls,8
suit,8
square,8
Drill,8
tap,8
drill,8
rocked,8
skipped,8
spaced,8
clamped,8
mixing,8
relates,8
leap,8
pumping,8
transmitted,8
assumes,8
frowned,8
extruded,8
stacked,8
stunned,8
struggled,8
reversed,8
sucking,8
embarrassed,8
mourning,8
stiffened,8
bouncing,8
afflicted,8
scraped,8
goin',8
conflicting,8
diminishing,8
crawling,8
wandered,8
knelt,8
betrayed,8
isolate,8
seeming,8
smoke,8
accompany,8
retreated,8
haunted,8
smoking,8
blow,8
surveying,8
notify,8
snapping,8
decreased,8
sorbed,8
inhibit,8
kiss,8
foamed,8
knitted,8
winked,8
chuckled,8
slapped,8
shoved,8
clutching,8
spat,8
wind,7
watered,7
violate,7
enact,7
enlarged,7
retarded,7
preserving,7
admitting,7
enlarge,7
constructing,7
doubling,7
hailed,7
feeds,7
coping,7
assisted,7
coordinate,7
dividing,7
request,7
waged,7
repay,7
comment,7
retiring,7
remarks,7
proposes,7
merchandising,7
occupying,7
trim,7
pleaded,7
feature,7
organizing,7
bowed,7
agreeing,7
cooperating,7
hits,7
stretch,7
catching,7
donated,7
prevailed,7
awaited,7
trailing,7
floated,7
confessed,7
heed,7
imposing,7
bestowed,7
sponsor,7
smoothed,7
hinted,7
awaiting,7
sporting,7
boast,7
invites,7
rule,7
damaged,7
overlooked,7
totaled,7
reproduced,7
posed,7
announcing,7
affiliated,7
integrate,7
subdued,7
cursing,7
directing,7
booked,7
forgetting,7
halt,7
roaring,7
bolted,7
managing,7
supplement,7
experiencing,7
forecast,7
hand,7
softened,7
edged,7
decline,7
Leave,7
combines,7
comprised,7
walks,7
exchanged,7
execute,7
pursuing,7
sampled,7
strive,7
uphold,7
summed,7
greet,7
solving,7
cancel,7
provoked,7
evoked,7
inform,7
govern,7
evaluating,7
lower,7
denounced,7
regulated,7
erupted,7
bite,7
Starting,7
broadened,7
tapped,7
commencing,7
commenced,7
blamed,7
search,7
surged,7
calculating,7
Follow,7
pour,7
multiplying,7
builds,7
uncovered,7
breathe,7
sipping,7
struggle,7
misplaced,7
triggered,7
pinched,7
fashioned,7
slow,7
forecasting,7
sighted,7
slip,7
retaining,7
echoed,7
obscured,7
stranded,7
lean,7
defeat,7
woven,7
sweep,7
enlightened,7
depicted,7
participates,7
illustrates,7
master,7
fascinated,7
postpone,7
trace,7
tapered,7
crowned,7
